begin,open,close,high,low,value,volume,end,year,ticker,company_name
2014-01-06,100.2,98.91,100.31,98.62,3154470383.9,31691800,2014-01-06 23:59:59,2014,SBER,Сбербанк
2014-01-08,99.1,98.19,99.41,97.85,4179938515.5,42372290,2014-01-08 23:59:59,2014,SBER,Сбербанк
2014-01-09,98.44,98.0,98.77,97.69,4518388781.2,45986900,2014-01-09 23:59:59,2014,SBER,Сбербанк
2014-01-10,97.87,99.2,99.41,97.52,5109679480.9,51902400,2014-01-10 23:59:59,2014,SBER,Сбербанк
2014-01-13,99.3,100.25,100.35,99.04,6191507238.7,62051250,2014-01-13 23:59:59,2014,SBER,Сбербанк
2014-01-14,99.18,99.24,99.73,98.51,7781261285.6,78485160,2014-01-14 23:59:59,2014,SBER,Сбербанк
2014-01-15,99.95,100.77,100.79,99.56,7807555438.7,77839370,2014-01-15 23:59:59,2014,SBER,Сбербанк
2014-01-16,100.9,100.65,101.64,100.53,6342081313.5,62759280,2014-01-16 23:59:59,2014,SBER,Сбербанк
2014-01-17,100.36,101.17,101.45,100.1,6976427837.1,69135170,2014-01-17 23:59:59,2014,SBER,Сбербанк
2014-01-20,100.99,101.96,102.17,100.66,6337126441.7,62429420,2014-01-20 23:59:59,2014,SBER,Сбербанк
2014-01-21,102.5,102.2,102.57,101.9,6340162289.1,61991430,2014-01-21 23:59:59,2014,SBER,Сбербанк
2014-01-22,102.21,102.17,102.49,101.13,5962256453.3,58589100,2014-01-22 23:59:59,2014,SBER,Сбербанк
2014-01-23,101.81,101.7,102.92,101.56,7229344462.4,70600710,2014-01-23 23:59:59,2014,SBER,Сбербанк
2014-01-24,100.99,99.7,101.26,99.63,11328433229.4,112821700,2014-01-24 23:59:59,2014,SBER,Сбербанк
2014-01-27,98.62,97.78,99.11,97.63,10205265742.8,103793450,2014-01-27 23:59:59,2014,SBER,Сбербанк
2014-01-28,98.21,97.36,98.74,97.05,7879197170.2,80448950,2014-01-28 23:59:59,2014,SBER,Сбербанк
2014-01-29,97.93,95.98,98.98,95.73,11798207834.2,120814560,2014-01-29 23:59:59,2014,SBER,Сбербанк
2014-01-30,96.1,95.8,96.69,94.4,12465984799.6,130498640,2014-01-30 23:59:59,2014,SBER,Сбербанк
2014-01-31,95.8,94.7,96.27,94.43,9826064290.3,103047610,2014-01-31 23:59:59,2014,SBER,Сбербанк
