begin,open,close,high,low,value,volume,end,year,ticker,company_name
2014-01-06,322.19,315.02,325.45,313.66,505130903.3,1595690,2014-01-06 23:59:59,2014,MTSS,МТС
2014-01-08,315.51,314.63,317.95,311.6,361992311.1,1150950,2014-01-08 23:59:59,2014,MTSS,МТС
2014-01-09,314.92,312.04,317.2,311.61,368057575.9,1172270,2014-01-09 23:59:59,2014,MTSS,МТС
2014-01-10,311.52,313.43,314.43,304.41,755938769.0,2447770,2014-01-10 23:59:59,2014,MTSS,МТС
2014-01-13,312.0,317.08,323.3,311.1,785575755.1,2471820,2014-01-13 23:59:59,2014,MTSS,МТС
2014-01-14,315.9,314.51,315.9,309.27,743261674.7,2383710,2014-01-14 23:59:59,2014,MTSS,МТС
2014-01-15,315.42,317.95,321.58,312.1,594948299.1,1880460,2014-01-15 23:59:59,2014,MTSS,МТС
2014-01-16,318.59,312.6,319.5,310.85,579547427.8,1843310,2014-01-16 23:59:59,2014,MTSS,МТС
2014-01-17,312.56,311.28,316.16,310.41,678974078.9,2166260,2014-01-17 23:59:59,2014,MTSS,МТС
2014-01-20,310.0,312.09,313.28,305.72,422777647.8,1359680,2014-01-20 23:59:59,2014,MTSS,МТС
2014-01-21,313.45,312.17,315.39,312.11,320632227.5,1020390,2014-01-21 23:59:59,2014,MTSS,МТС
2014-01-22,312.4,307.31,312.4,306.23,736382221.9,2391790,2014-01-22 23:59:59,2014,MTSS,МТС
2014-01-23,307.31,307.52,308.68,306.12,427701879.0,1392490,2014-01-23 23:59:59,2014,MTSS,МТС
2014-01-24,305.73,305.6,308.99,301.4,940651205.7,3080730,2014-01-24 23:59:59,2014,MTSS,МТС
2014-01-27,303.4,298.75,305.84,297.16,1212099085.2,4037270,2014-01-27 23:59:59,2014,MTSS,МТС
2014-01-28,298.72,299.5,304.3,297.38,645165337.6,2147280,2014-01-28 23:59:59,2014,MTSS,МТС
2014-01-29,300.9,293.02,304.21,291.2,1111921535.1,3730470,2014-01-29 23:59:59,2014,MTSS,МТС
2014-01-30,293.02,291.29,295.8,289.1,810598570.8,2774920,2014-01-30 23:59:59,2014,MTSS,МТС
2014-01-31,297.18,287.87,297.18,285.55,508804529.6,1752000,2014-01-31 23:59:59,2014,MTSS,МТС
2014-02-03,289.46,289.03,291.2,285.55,726826975.4,2523080,2014-02-03 23:59:59,2014,MTSS,МТС
2014-02-04,287.29,296.98,302.48,286.06,1289770911.6,4356690,2014-02-04 23:59:59,2014,MTSS,МТС
2014-02-05,297.99,297.99,302.48,294.0,1066352018.8,3581400,2014-02-05 23:59:59,2014,MTSS,МТС
2014-02-06,297.95,296.0,304.0,295.7,803860559.5,2682040,2014-02-06 23:59:59,2014,MTSS,МТС
2014-02-07,297.69,299.0,301.73,297.41,664319907.1,2216450,2014-02-07 23:59:59,2014,MTSS,МТС
2014-02-10,299.1,299.55,303.72,298.68,414186665.1,1375100,2014-02-10 23:59:59,2014,MTSS,МТС
2014-02-11,299.98,302.5,305.2,299.5,624228522.8,2058100,2014-02-11 23:59:59,2014,MTSS,МТС
2014-02-12,305.0,303.1,305.88,301.5,467936342.4,1539580,2014-02-12 23:59:59,2014,MTSS,МТС
2014-02-13,301.99,294.72,302.12,294.07,693157718.1,2325910,2014-02-13 23:59:59,2014,MTSS,МТС
2014-02-14,295.4,296.4,298.36,295.3,481842369.9,1623570,2014-02-14 23:59:59,2014,MTSS,МТС
2014-02-17,296.85,297.34,300.04,296.68,401838418.6,1347820,2014-02-17 23:59:59,2014,MTSS,МТС
2014-02-18,297.91,295.5,299.4,293.51,630656131.0,2128080,2014-02-18 23:59:59,2014,MTSS,МТС
2014-02-19,294.28,287.39,296.32,287.01,1022100333.5,3524400,2014-02-19 23:59:59,2014,MTSS,МТС
2014-02-20,285.0,282.01,285.44,281.29,1255912150.1,4443170,2014-02-20 23:59:59,2014,MTSS,МТС
2014-02-21,284.54,285.59,288.89,283.5,685186060.9,2390770,2014-02-21 23:59:59,2014,MTSS,МТС
2014-02-24,285.54,285.54,288.1,283.03,447889769.9,1568550,2014-02-24 23:59:59,2014,MTSS,МТС
2014-02-25,285.98,281.79,287.0,279.03,734616681.6,2606070,2014-02-25 23:59:59,2014,MTSS,МТС
2014-02-26,283.13,276.21,283.18,275.7,854701773.5,3060850,2014-02-26 23:59:59,2014,MTSS,МТС
2014-02-27,277.21,271.39,279.55,263.2,1371302194.6,5053350,2014-02-27 23:59:59,2014,MTSS,МТС
2014-02-28,272.51,276.2,277.0,267.37,826603778.9,3039390,2014-02-28 23:59:59,2014,MTSS,МТС
2014-03-03,260.19,239.63,264.0,228.12,2370763908.3,9753250,2014-03-03 23:59:59,2014,MTSS,МТС
2014-03-04,243.99,254.06,258.39,243.99,1678078551.9,6725780,2014-03-04 23:59:59,2014,MTSS,МТС
2014-03-05,257.95,256.5,258.23,249.0,699185191.9,2744490,2014-03-05 23:59:59,2014,MTSS,МТС
2014-03-06,256.52,259.26,264.47,250.0,1194559327.5,4686120,2014-03-06 23:59:59,2014,MTSS,МТС
2014-03-07,258.82,252.83,260.25,252.22,689350625.1,2699270,2014-03-07 23:59:59,2014,MTSS,МТС
2014-03-11,252.02,246.8,252.8,246.5,673805192.5,2713070,2014-03-11 23:59:59,2014,MTSS,МТС
2014-03-12,244.05,237.5,244.05,233.0,894867152.1,3748760,2014-03-12 23:59:59,2014,MTSS,МТС
2014-03-13,239.0,236.43,240.29,235.01,846774484.1,3566700,2014-03-13 23:59:59,2014,MTSS,МТС
2014-03-14,233.0,235.0,236.0,226.43,1278934528.7,5511140,2014-03-14 23:59:59,2014,MTSS,МТС
2014-03-17,235.0,245.61,248.75,234.01,1797847385.1,7405630,2014-03-17 23:59:59,2014,MTSS,МТС
2014-03-18,246.06,260.71,262.45,242.11,2062886594.9,8078700,2014-03-18 23:59:59,2014,MTSS,МТС
2014-03-19,261.0,257.71,263.98,251.0,1225768475.5,4765150,2014-03-19 23:59:59,2014,MTSS,МТС
2014-03-20,255.5,259.6,261.45,252.5,1100611807.3,4253150,2014-03-20 23:59:59,2014,MTSS,МТС
2014-03-21,255.0,256.12,259.23,251.12,1266902175.2,4972310,2014-03-21 23:59:59,2014,MTSS,МТС
