begin,open,close,high,low,value,volume,end,year,ticker,company_name
2014-01-06,9558.0,8956.9,9558.0,8940.0,991599221.6,109666,2014-01-06 23:59:59,2014,MGNT,Магнит
2014-01-08,8992.5,9154.9,9197.0,8930.1,596697845.9,65800,2014-01-08 23:59:59,2014,MGNT,Магнит
2014-01-09,9153.5,8990.5,9153.5,8971.4,673002413.3,74382,2014-01-09 23:59:59,2014,MGNT,Магнит
2014-01-10,8589.5,8450.1,9023.6,8380.1,3098190045.1,360360,2014-01-10 23:59:59,2014,MGNT,Магнит
2014-01-13,8495.5,8258.5,8550.0,8050.0,3640106591.4,441363,2014-01-13 23:59:59,2014,MGNT,Магнит
2014-01-14,8200.0,8414.0,8500.0,8073.0,2355689932.0,284066,2014-01-14 23:59:59,2014,MGNT,Магнит
2014-01-15,8543.5,8902.9,9020.0,8432.1,4398972864.9,500603,2014-01-15 23:59:59,2014,MGNT,Магнит
2014-01-16,8900.0,9025.5,9139.7,8883.0,3070380736.0,339310,2014-01-16 23:59:59,2014,MGNT,Магнит
2014-01-17,8995.5,8975.5,9093.8,8825.0,2191400713.7,243947,2014-01-17 23:59:59,2014,MGNT,Магнит
2014-01-20,8928.7,8714.0,8995.5,8651.1,1300332074.6,146877,2014-01-20 23:59:59,2014,MGNT,Магнит
2014-01-21,8719.0,8413.2,8807.7,8352.2,2168803180.2,253016,2014-01-21 23:59:59,2014,MGNT,Магнит
2014-01-22,8399.5,8250.0,8420.0,8032.8,3305333082.2,403277,2014-01-22 23:59:59,2014,MGNT,Магнит
2014-01-23,8249.9,8283.0,8470.0,8120.0,2953457669.7,355128,2014-01-23 23:59:59,2014,MGNT,Магнит
2014-01-24,8212.1,8266.1,8350.0,8102.2,1891451004.8,229478,2014-01-24 23:59:59,2014,MGNT,Магнит
2014-01-27,8135.0,8249.9,8600.0,8000.0,3515909472.3,423170,2014-01-27 23:59:59,2014,MGNT,Магнит
2014-01-28,8225.0,8232.1,8468.9,8157.0,2963947043.2,355718,2014-01-28 23:59:59,2014,MGNT,Магнит
2014-01-29,8300.5,8290.0,8485.9,8150.0,3507597826.7,419298,2014-01-29 23:59:59,2014,MGNT,Магнит
2014-01-30,8256.5,8116.3,8327.1,7862.0,4940226535.8,614401,2014-01-30 23:59:59,2014,MGNT,Магнит
2014-01-31,8150.0,8395.0,8432.9,8040.0,5495018609.4,662648,2014-01-31 23:59:59,2014,MGNT,Магнит
2014-02-03,8449.5,8554.1,8663.8,8390.0,2155770120.6,252383,2014-02-03 23:59:59,2014,MGNT,Магнит
2014-02-04,8465.5,8412.5,8582.1,8351.0,1492907360.3,176730,2014-02-04 23:59:59,2014,MGNT,Магнит
2014-02-05,8405.0,8540.2,8591.0,8370.4,1117487433.9,131627,2014-02-05 23:59:59,2014,MGNT,Магнит
2014-02-06,8521.1,8540.0,8646.0,8460.0,1288582493.3,150498,2014-02-06 23:59:59,2014,MGNT,Магнит
2014-02-07,8541.7,8455.0,8614.5,8395.5,1163085759.2,136501,2014-02-07 23:59:59,2014,MGNT,Магнит
2014-02-10,8430.0,8280.0,8511.0,8201.7,1708274559.5,204597,2014-02-10 23:59:59,2014,MGNT,Магнит
2014-02-11,8297.5,8249.9,8349.5,8184.0,1446365123.1,175160,2014-02-11 23:59:59,2014,MGNT,Магнит
2014-02-12,8270.5,8409.9,8410.0,8237.0,1099763230.9,131864,2014-02-12 23:59:59,2014,MGNT,Магнит
2014-02-13,8409.7,8435.0,8579.8,8390.0,1913379677.4,225101,2014-02-13 23:59:59,2014,MGNT,Магнит
2014-02-14,8450.5,8554.1,8555.0,8361.2,1263524296.5,149175,2014-02-14 23:59:59,2014,MGNT,Магнит
2014-02-17,8535.6,8617.2,8629.9,8475.0,1564681409.8,182898,2014-02-17 23:59:59,2014,MGNT,Магнит
2014-02-18,8600.9,8584.0,8689.0,8545.0,865985625.7,100416,2014-02-18 23:59:59,2014,MGNT,Магнит
2014-02-19,8580.0,8735.0,8770.0,8571.0,1319914565.5,152245,2014-02-19 23:59:59,2014,MGNT,Магнит
2014-02-20,8702.5,8719.9,8737.0,8523.0,1372247018.7,158816,2014-02-20 23:59:59,2014,MGNT,Магнит
2014-02-21,8744.0,8730.0,8789.0,8722.2,972996261.8,111114,2014-02-21 23:59:59,2014,MGNT,Магнит
2014-02-24,8705.0,8743.2,8785.1,8668.1,723086466.5,82688,2014-02-24 23:59:59,2014,MGNT,Магнит
2014-02-25,8795.5,8755.7,8885.0,8720.0,968037518.8,109956,2014-02-25 23:59:59,2014,MGNT,Магнит
2014-02-26,8761.0,8810.0,8842.1,8761.0,902142158.8,102414,2014-02-26 23:59:59,2014,MGNT,Магнит
2014-02-27,8841.5,8732.0,8858.9,8420.1,2424514222.0,279404,2014-02-27 23:59:59,2014,MGNT,Магнит
2014-02-28,8749.3,8760.0,8820.0,8250.1,1684979800.6,193597,2014-02-28 23:59:59,2014,MGNT,Магнит
2014-03-03,8500.0,7748.6,8500.0,7432.9,4270028919.3,546140,2014-03-03 23:59:59,2014,MGNT,Магнит
2014-03-04,7824.6,8553.4,8631.0,7803.2,5776634858.9,700335,2014-03-04 23:59:59,2014,MGNT,Магнит
2014-03-05,8556.5,8450.0,8586.9,8311.0,1981402053.7,234731,2014-03-05 23:59:59,2014,MGNT,Магнит
2014-03-06,8399.0,8149.0,8519.0,7775.3,3807798910.2,468218,2014-03-06 23:59:59,2014,MGNT,Магнит
