begin,open,close,high,low,value,volume,end,year,ticker,company_name
2014-01-06,110.41,110.29,110.47,109.6,262478743.4,2387310,2014-01-06 23:59:59,2014,RTKM,Ростелеком
2014-01-08,110.3,110.25,110.63,110.0,115173774.4,1044810,2014-01-08 23:59:59,2014,RTKM,Ростелеком
2014-01-09,110.24,110.65,110.75,109.9,158562208.5,1438040,2014-01-09 23:59:59,2014,RTKM,Ростелеком
2014-01-10,110.94,110.99,111.29,110.12,171584724.6,1549480,2014-01-10 23:59:59,2014,RTKM,Ростелеком
2014-01-13,111.5,111.92,112.3,110.64,199191643.4,1781930,2014-01-13 23:59:59,2014,RTKM,Ростелеком
2014-01-14,111.3,111.55,111.81,110.3,213885671.1,1927490,2014-01-14 23:59:59,2014,RTKM,Ростелеком
2014-01-15,111.53,111.9,112.08,111.14,162885508.9,1460070,2014-01-15 23:59:59,2014,RTKM,Ростелеком
2014-01-16,111.85,111.5,113.2,111.5,243281213.0,2168860,2014-01-16 23:59:59,2014,RTKM,Ростелеком
2014-01-17,111.51,112.8,114.0,111.15,347478043.6,3069330,2014-01-17 23:59:59,2014,RTKM,Ростелеком
2014-01-20,112.79,112.8,113.75,112.5,103978070.7,918220,2014-01-20 23:59:59,2014,RTKM,Ростелеком
2014-01-21,113.55,113.27,113.88,112.9,122034552.4,1076960,2014-01-21 23:59:59,2014,RTKM,Ростелеком
2014-01-22,113.85,112.3,113.85,111.92,148927602.4,1324380,2014-01-22 23:59:59,2014,RTKM,Ростелеком
2014-01-23,112.25,111.79,112.96,111.5,191218543.2,1702820,2014-01-23 23:59:59,2014,RTKM,Ростелеком
2014-01-24,111.35,112.2,113.94,110.5,325427662.0,2895690,2014-01-24 23:59:59,2014,RTKM,Ростелеком
2014-01-27,112.05,111.9,113.66,111.51,262457054.6,2332500,2014-01-27 23:59:59,2014,RTKM,Ростелеком
2014-01-28,111.9,111.75,112.54,111.5,182977642.1,1634780,2014-01-28 23:59:59,2014,RTKM,Ростелеком
